Vendor County Code,Vendor County,Obligation Year and Month, Number of Families Redeemed Food Benefits , Number of Food Instruments Redeemed , Dollar Amount Redeemed for Food Instruments , Number of WIC Card Transactions Processed , Dollar Amount Reimbursed for WIC Card Transactions , Average Cost per Family , Statewide Infant Formula Rebate , Total Cost Adjusted , Average Cost Adjusted 
45,Shasta,201909,"2,389","11,179","210,888.66",736,"17,587.00",95.64,,,
45,Shasta,201910,"2,305","4,515","85,868.01","4,790","130,873.87",94.03,,,
45,Shasta,201911,"2,255","1,369","27,102.83","6,288","183,734.05",93.5,,,
45,Shasta,201912,"2,252",53,"1,521.52","7,131","212,549.97",95.06,,,
46,Sierra,2019,73,589,"11,099.26",167,"3,045.21",193.76,,,
46,Sierra,201901,19,68,"1,438.65",,,75.72,,,
46,Sierra,201902,20,87,"1,678.92",,,83.95,,,
46,Sierra,201903,16,61,"1,011.07",,,63.19,,,
46,Sierra,201904,14,67,"1,080.70",,,77.19,,,
46,Sierra,201905,13,50,905.38,,,69.64,,,
46,Sierra,201906,17,63,"1,126.95",,,66.29,,,
46,Sierra,201907,16,63,"1,096.16",,,68.51,,,
46,Sierra,201908,18,73,"1,402.92",,,77.94,,,
46,Sierra,201909,19,55,"1,204.58",3,79.09,67.56,,,
46,Sierra,201910,17,2,153.93,53,"1,029.53",69.62,,,
46,Sierra,201911,16,,,54,"1,017.86",63.62,,,
46,Sierra,201912,18,,,57,918.73,51.04,,,
47,Siskiyou,2019,"1,929","21,784","430,614.17","5,131","126,494.08",288.81,,,
47,Siskiyou,201901,481,"2,452","50,216.77",,,104.4,,,
47,Siskiyou,201902,471,"2,344","46,811.57",,,99.39,,,
47,Siskiyou,201903,472,"2,361","47,390.25",,,100.4,,,
47,Siskiyou,201904,449,"2,222","43,964.06",,,97.92,,,
47,Siskiyou,201905,460,"2,297","45,316.57",,,98.51,,,
47,Siskiyou,201906,447,"2,234","44,906.48",,,100.46,,,
47,Siskiyou,201907,495,"2,541","49,383.56",,,99.76,,,
47,Siskiyou,201908,492,"2,513","48,758.09",,,99.1,,,
47,Siskiyou,201909,488,"1,946","37,526.52",375,"8,740.34",94.81,,,
47,Siskiyou,201910,502,664,"12,494.02","1,387","32,442.75",89.52,,,
47,Siskiyou,201911,500,204,"3,665.38","1,644","41,432.92",90.2,,,
47,Siskiyou,201912,463,6,180.9,"1,725","43,878.07",95.16,,,
48,Solano,2019,"18,086","130,060","2,580,452.38","66,006","2,451,994.05",278.25,,,
48,Solano,201901,"4,843","22,897","445,910.14",,,92.07,,,
48,Solano,201902,"4,717","22,415","438,590.11",,,92.98,,,
48,Solano,201903,"4,716","22,037","439,756.86",,,93.25,,,
48,Solano,201904,"4,692","22,223","444,357.03",,,94.71,,,
48,Solano,201905,"4,619","21,784","434,040.00",,,93.97,,,
48,Solano,201906,"4,252","11,283","228,021.83","5,041","177,989.09",95.49,,,
48,Solano,201907,"4,235","4,800","96,634.62","8,637","305,798.79",95.03,,,
48,Solano,201908,"4,270","1,234","24,641.78","10,599","376,489.49",93.94,,,
48,Solano,201909,"4,281",870,"17,986.82","10,574","389,540.97",95.19,,,
48,Solano,201910,"4,360",357,"7,168.53","10,656","406,655.36",94.91,,,
48,Solano,201911,"4,160",103,"2,149.33","10,096","388,684.99",93.95,,,
48,Solano,201912,"4,198",57,"1,195.33","10,403","406,835.36",97.2,,,
49,Sonoma,2019,"15,231","177,241","3,425,060.76","30,485","1,047,901.22",293.67,,,
49,Sonoma,201901,"4,371","21,054","409,097.97",,,93.59,,,
49,Sonoma,201902,"4,307","20,673","401,147.47",,,93.14,,,
49,Sonoma,201903,"4,276","20,512","395,175.97",,,92.42,,,
49,Sonoma,201904,"4,254","20,323","389,012.73",,,91.45,,,
49,Sonoma,201905,"4,274","20,252","390,628.63",,,91.4,,,
49,Sonoma,201906,"4,169","20,026","386,049.05",,,92.6,,,
49,Sonoma,201907,"4,184","20,103","391,672.00",4,224.17,93.67,,,
49,Sonoma,201908,"4,043","19,260","375,770.29",18,727.13,93.12,,,
49,Sonoma,201909,"3,832","10,919","209,553.93","4,407","144,819.84",92.48,,,
49,Sonoma,201910,"3,480","4,079","75,990.42","7,331","243,403.95",91.78,,,
49,Sonoma,201911,"3,429",17,382.05,"9,135","317,144.58",92.6,,,
49,Sonoma,201912,"3,565",23,580.25,"9,590","341,581.55",95.98,,,
50,Stanislaus,2019,"29,060","601,505","12,454,678.99",588,"20,512.70",429.29,,,
50,Stanislaus,201901,"10,491","52,520","1,103,034.04",,,105.14,,,
50,Stanislaus,201902,"9,987","50,321","1,051,038.81",,,105.24,,,
50,Stanislaus,201903,"10,060","50,236","1,043,208.29",,,103.7,,,
50,Stanislaus,201904,"9,994","50,340","1,038,307.61",,,103.89,,,
50,Stanislaus,201905,"10,094","50,639","1,047,974.60",,,103.82,,,
50,Stanislaus,201906,"10,164","50,951","1,045,550.03",,,102.87,,,
50,Stanislaus,201907,"10,306","51,628","1,055,573.99",,,102.42,,,
50,Stanislaus,201908,"10,323","51,215","1,052,187.02",1,180.8,101.94,,,
50,Stanislaus,201909,"10,114","50,849","1,041,618.26",47,"1,345.46",103.12,,,
50,Stanislaus,201910,"9,940","49,047","1,015,091.71",133,"4,438.83",102.57,,,
50,Stanislaus,201911,"9,633","47,450","991,405.19",202,"6,591.25",103.6,,,
50,Stanislaus,201912,"9,322","46,309","969,689.44",205,"7,956.36",104.88,,,
51,Sutter,2019,"9,520","87,255","1,584,370.65","14,225","441,574.19",212.81,,,
51,Sutter,201901,"2,250","9,888","180,612.10",,,80.27,,,
51,Sutter,201902,"2,171","9,664","173,973.60",,,80.14,,,
51,Sutter,201903,"2,190","9,670","175,290.67",,,80.04,,,
51,Sutter,201904,"2,169","9,697","178,109.94",,,82.12,,,
51,Sutter,201905,"2,202","9,848","181,035.07",,,82.21,,,
51,Sutter,201906,"2,201","9,688","176,618.44",,,80.24,,,
51,Sutter,201907,"2,217","9,906","179,337.28",,,80.89,,,
51,Sutter,201908,"2,148","9,584","170,969.61",4,38.57,79.61,,,
51,Sutter,201909,"1,996","7,672","139,615.35",685,"20,065.91",80,,,
51,Sutter,201910,"1,896","1,405","24,382.12","3,911","122,426.00",77.43,,,
51,Sutter,201911,"1,993",215,"4,251.32","4,713","147,807.69",76.3,,,
51,Sutter,201912,"1,981",18,175.15,"4,912","151,236.02",76.43,,,
52,Tehama,2019,"4,161","46,430","867,186.22","7,388","207,436.72",258.26,,,
52,Tehama,201901,"1,140","5,465","104,184.50",,,91.39,,,
52,Tehama,201902,"1,044","5,160","97,339.84",,,93.24,,,
52,Tehama,201903,"1,048","5,107","94,812.82",,,90.47,,,
52,Tehama,201904,"1,076","5,223","97,077.75",,,90.22,,,
52,Tehama,201905,"1,078","5,202","95,875.08",,,88.94,,,
52,Tehama,201906,"1,043","5,255","94,793.89",,,90.89,,,
52,Tehama,201907,"1,037","5,145","95,894.20",4,77.12,92.55,,,
52,Tehama,201908,"1,017","4,827","90,528.79",2,151.52,89.16,,,
52,Tehama,201909,930,"3,861","73,743.63",355,"9,141.10",89.12,,,
52,Tehama,201910,792,"1,133","21,731.91","1,798","48,568.66",88.76,,,
52,Tehama,201911,821,49,"1,165.22","2,532","73,425.16",90.85,,,
52,Tehama,201912,867,3,38.59,"2,697","76,073.16",87.79,,,
53,Trinity,2019,598,"6,338","128,212.78","1,405","31,566.84",267.19,,,
53,Trinity,201901,150,733,"14,945.91",,,99.64,,,
53,Trinity,201902,154,736,"15,373.98",,,99.83,,,
53,Trinity,201903,155,715,"14,790.07",,,95.42,,,
53,Trinity,201904,143,645,"13,549.43",,,94.75,,,
53,Trinity,201905,148,664,"13,745.79",,,92.88,,,
53,Trinity,201906,145,685,"13,941.07",,,96.15,,,
53,Trinity,201907,150,737,"14,494.93",,,96.63,,,
53,Trinity,201908,142,659,"12,384.47",,,87.21,,,
53,Trinity,201909,137,549,"10,747.57",55,"1,097.39",86.46,,,
53,Trinity,201910,150,200,"4,010.01",365,"7,671.35",77.88,,,
53,Trinity,201911,151,15,229.55,474,"11,117.45",75.15,,,
53,Trinity,201912,158,,,511,"11,680.65",73.93,,,
54,Tulare,2019,"34,813","739,237","15,804,710.80",84,"1,977.74",454.05,,,
54,Tulare,201901,"13,081","64,467","1,374,011.97",,,105.04,,,
54,Tulare,201902,"12,890","63,481","1,358,899.72",,,105.42,,,
54,Tulare,201903,"12,815","62,525","1,337,309.07",,,104.35,,,
54,Tulare,201904,"12,818","62,628","1,337,399.90",,,104.34,,,
54,Tulare,201905,"12,951","63,108","1,344,505.12",,,103.81,,,
54,Tulare,201906,"12,766","62,624","1,330,458.05",,,104.22,,,
54,Tulare,201907,"12,854","63,242","1,334,733.64",,,103.84,,,
54,Tulare,201908,"12,689","62,006","1,319,474.41",,,103.99,,,
54,Tulare,201909,"12,473","61,307","1,300,021.06",8,200.38,104.24,,,
54,Tulare,201910,"12,430","60,637","1,293,473.24",6,128.45,104.07,,,
54,Tulare,201911,"11,877","57,780","1,251,841.58",23,257.41,105.42,,,
54,Tulare,201912,"11,436","55,432","1,222,583.04",47,"1,391.50",107.03,,,
55,Tuolumne,2019,"1,873","19,100","361,739.10","3,107","82,538.93",237.2,,,
55,Tuolumne,201901,508,"2,102","39,581.10",,,77.92,,,
55,Tuolumne,201902,480,"2,098","39,598.18",,,82.5,,,
55,Tuolumne,201903,462,"2,097","40,137.88",,,86.88,,,
55,Tuolumne,201904,445,"2,083","39,810.95",,,89.46,,,
55,Tuolumne,201905,445,"2,081","40,547.21",,,91.12,,,
55,Tuolumne,201906,463,"2,149","41,496.20",,,89.62,,,
55,Tuolumne,201907,450,"2,010","38,667.09",,,85.93,,,
55,Tuolumne,201908,453,"2,071","39,022.79",,,86.14,,,
55,Tuolumne,201909,383,"1,455","27,149.20",153,"3,761.10",80.71,,,
55,Tuolumne,201910,379,733,"12,347.24",668,"19,334.27",83.59,,,
55,Tuolumne,201911,390,191,"2,937.06","1,068","27,997.72",79.32,,,
55,Tuolumne,201912,392,30,444.2,"1,218","31,445.84",81.35,,,
56,Ventura,2019,"24,132","504,056","10,225,501.14",52,"1,743.75",423.8,,,
56,Ventura,201901,"9,047","44,478","895,533.89",,,98.99,,,
56,Ventura,201902,"9,068","44,677","898,715.24",,,99.11,,,
56,Ventura,201903,"8,963","43,612","882,349.32",,,98.44,,,
56,Ventura,201904,"8,864","43,666","883,652.81",,,99.69,,,
56,Ventura,201905,"8,838","43,032","873,005.17",,,98.78,,,
56,Ventura,201906,"8,685","42,744","864,941.78",,,99.59,,,
56,Ventura,201907,"8,770","42,608","863,899.60",,,98.51,,,
56,Ventura,201908,"8,638","41,656","844,453.33",,,97.76,,,
56,Ventura,201909,"8,462","40,999","830,318.57",1,37.98,98.13,,,
56,Ventura,201910,"8,344","40,188","815,724.38",1,22.36,97.76,,,
56,Ventura,201911,"8,026","38,538","788,398.03",12,639.54,98.31,,,
56,Ventura,201912,"7,860","37,858","784,509.02",38,"1,043.87",99.94,,,
57,Yolo,2019,"9,049","89,623","1,703,673.63","15,962","418,387.73",234.51,,,
57,Yolo,201901,"2,141","9,852","187,581.21",,,87.61,,,
57,Yolo,201902,"2,113","9,855","188,453.80",,,89.19,,,
57,Yolo,201903,"2,120","9,675","186,246.35",,,87.85,,,
57,Yolo,201904,"2,144","9,869","189,574.27",,,88.42,,,
57,Yolo,201905,"2,179","10,069","191,499.41",,,87.88,,,
57,Yolo,201906,"2,154","9,825","187,886.29",9,200.85,87.32,,,
57,Yolo,201907,"2,087","9,518","179,648.43",5,238.42,86.19,,,
57,Yolo,201908,"2,002","9,029","170,143.78",14,507.57,85.24,,,
57,Yolo,201909,"1,992","7,971","147,766.75",713,"18,741.56",83.59,,,
57,Yolo,201910,"1,955","3,288","62,502.92","3,995","98,624.30",82.42,,,
57,Yolo,201911,"1,921",647,"11,961.57","5,398","143,142.22",80.74,,,
57,Yolo,201912,"1,966",25,408.85,"5,828","156,932.81",80.03,,,
58,Yuba,2019,"7,027","76,182","1,419,209.61","10,321","340,534.03",250.43,,,
58,Yuba,201901,"1,727","8,156","152,887.05",,,88.53,,,
58,Yuba,201902,"1,736","8,240","156,817.14",,,90.33,,,
58,Yuba,201903,"1,689","8,029","147,663.94",,,87.43,,,
58,Yuba,201904,"1,703","8,244","151,322.83",,,88.86,,,
58,Yuba,201905,"1,736","8,331","155,418.34",,,89.53,,,
58,Yuba,201906,"1,684","8,144","152,953.68",,,90.83,,,
58,Yuba,201907,"1,721","8,305","155,019.07",,,90.07,,,
58,Yuba,201908,"1,739","8,343","152,420.31",,,87.65,,,
58,Yuba,201909,"1,604","6,974","132,233.58",381,"12,687.96",90.35,,,
58,Yuba,201910,"1,534","2,675","49,451.55","2,578","81,574.44",85.41,,,
58,Yuba,201911,"1,518",720,"12,578.04","3,452","113,678.60",83.17,,,
58,Yuba,201912,"1,540",21,444.08,"3,910","132,593.03",86.39,,,
0,Statewide,2020,"1,031,304","3,520,350","$73,240,572.73 ","14,944,127","$595,796,309.04 ",$648.73 ,"$205,737,686.96 ","$463,299,194.81 ",$449.24 
0,Statewide,202001,"513,479","1,451,127","$30,058,597.81 ","738,836","$25,493,708.42 ",$108.19 ,"$18,127,140.58 ","$37,425,165.65 ",$72.89 
0,Statewide,202002,"500,726","1,082,134","$22,485,744.02 ","897,601","$31,732,730.97 ",$108.28 ,"$16,254,166.58 ","$37,964,308.41 ",$75.82 
0,Statewide,202003,"510,340","664,007","$13,892,400.06 ","1,098,072","$42,014,709.08 ",$109.55 ,"$17,920,228.79 ","$37,986,880.35 ",$74.43 
0,Statewide,202004,"520,346","256,709","$5,423,402.81 ","1,197,203","$50,635,652.22 ",$107.73 ,"$16,377,358.94 ","$39,681,696.09 ",$76.26 
0,Statewide,202005,"525,426","66,373","$1,380,428.03 ","1,298,625","$54,055,028.90 ",$105.51 ,"$17,139,838.69 ","$38,295,618.24 ",$72.88 
0,Statewide,202006,"532,347",,,"1,341,709","$55,580,997.81 ",$104.41 ,"$16,921,087.09 ","$38,659,910.72 ",$72.62 
0,Statewide,202007,"543,151",,,"1,393,742","$56,432,447.72 ",$103.90 ,"$17,749,735.64 ","$38,682,712.08 ",$71.22 
0,Statewide,202008,"546,005",,,"1,403,848","$56,391,713.54 ",$103.28 ,"$16,978,746.12 ","$39,412,967.42 ",$72.18 
0,Statewide,202009,"544,487",,,"1,381,857","$55,859,459.75 ",$102.59 ,"$16,680,783.51 ","$39,178,676.24 ",$71.96 
0,Statewide,202010,"548,101",,,"1,411,794","$55,976,929.73 ",$102.13 ,"$17,474,924.50 ","$38,502,005.23 ",$70.25 
0,Statewide,202011,"546,353",,,"1,390,760","$55,702,788.33 ",$101.95 ,"$16,419,395.79 ","$39,283,392.54 ",$71.90 
0,Statewide,202012,"547,249",,,"1,390,080","$55,920,142.57 ",$102.18 ,"$17,694,280.73 ","$38,225,861.84 ",$69.85 
1,Alameda,2020,"23,427",642,"$17,263.43 ","394,843","$19,243,769.67 ",$822.17 ,,,
1,Alameda,202001,"13,597",256,"$7,129.69 ","35,650","$1,516,653.87 ",$112.07 ,,,
1,Alameda,202002,"13,534",180,"$5,037.66 ","34,705","$1,525,067.47 ",$113.06 ,,,
1,Alameda,202003,"14,034",150,"$3,742.23 ","34,431","$1,602,037.57 ",$114.42 ,,,
1,Alameda,202004,"14,147",50,"$1,265.59 ","32,020","$1,616,677.78 ",$114.37 ,,,
1,Alameda,202005,"14,232",6,$88.26 ,"31,966","$1,609,392.48 ",$113.09 ,,,
1,Alameda,202006,"14,225",,,"31,963","$1,596,891.57 ",$112.26 ,,,
1,Alameda,202007,"14,414",,,"33,068","$1,596,479.04 ",$110.76 ,,,
1,Alameda,202008,"14,323",,,"32,867","$1,626,648.00 ",$113.57 ,,,
1,Alameda,202009,"14,374",,,"32,158","$1,627,842.85 ",$113.25 ,,,
1,Alameda,202010,"14,442",,,"32,209","$1,631,318.77 ",$112.96 ,,,
1,Alameda,202011,"14,462",,,"31,829","$1,644,030.07 ",$113.68 ,,,
1,Alameda,202012,"14,537",,,"31,977","$1,650,730.20 ",$113.55 ,,,
3,Amador,2020,773,79,"$1,645.37 ","11,333","$341,015.76 ",$443.29 ,,,
3,Amador,202001,344,25,$360.02 ,"1,022","$28,991.18 ",$85.32 ,,,
3,Amador,202002,352,28,$607.24 ,"1,019","$28,091.38 ",$81.53 ,,,
3,Amador,202003,368,15,$439.91 ,"1,045","$30,497.26 ",$84.07 ,,,
3,Amador,202004,378,7,$196.25 ,889,"$30,831.98 ",$82.09 ,,,
3,Amador,202005,365,4,$41.95 ,887,"$27,705.61 ",$76.02 ,,,
3,Amador,202006,373,,,904,"$30,375.80 ",$81.44 ,,,
3,Amador,202007,371,,,958,"$30,130.89 ",$81.22 ,,,
3,Amador,202008,375,,,987,"$29,560.52 ",$78.83 ,,,
3,Amador,202009,362,,,897,"$26,268.30 ",$72.56 ,,,
3,Amador,202010,379,,,947,"$27,952.96 ",$73.75 ,,,
3,Amador,202011,370,,,952,"$27,131.65 ",$73.33 ,,,
3,Amador,202012,327,,,826,"$23,478.23 ",$71.80 ,,,
4,Butte,2020,"5,179",84,"$1,982.63 ","81,293","$2,771,540.19 ",$535.53 ,,,
4,Butte,202001,"2,662",34,$455.37 ,"7,802","$236,369.16 ",$88.96 ,,,
4,Butte,202002,"2,645",39,"$1,381.56 ","7,145","$231,764.76 ",$88.15 ,,,
4,Butte,202003,"2,811",8,$107.40 ,"7,386","$247,304.29 ",$88.02 ,,,
4,Butte,202004,"2,888",3,$38.30 ,"6,731","$243,435.39 ",$84.31 ,,,
4,Butte,202005,"2,641",,,"6,243","$222,382.31 ",$84.20 ,,,
4,Butte,202006,"2,662",,,"6,330","$221,667.01 ",$83.27 ,,,
4,Butte,202007,"2,730",,,"6,562","$231,741.36 ",$84.89 ,,,
4,Butte,202008,"2,660",,,"6,624","$228,038.98 ",$85.73 ,,,
4,Butte,202009,"2,737",,,"6,630","$227,881.81 ",$83.26 ,,,
4,Butte,202010,"2,714",,,"6,720","$225,032.76 ",$82.92 ,,,
4,Butte,202011,"2,701",,,"6,574","$228,534.64 ",$84.61 ,,,
4,Butte,202012,"2,709",,,"6,546","$227,387.72 ",$83.94 ,,,
5,Calaveras,2020,540,98,"$2,989.71 ","7,219","$212,448.24 ",$398.96 ,,,
5,Calaveras,202001,242,39,"$1,192.05 ",776,"$18,783.90 ",$82.55 ,,,
5,Calaveras,202002,225,31,$900.62 ,660,"$17,396.66 ",$81.32 ,,,
5,Calaveras,202003,245,16,$437.01 ,724,"$19,080.25 ",$79.66 ,,,
5,Calaveras,202004,218,12,$460.03 ,605,"$18,275.30 ",$85.94 ,,,
5,Calaveras,202005,213,,,550,"$17,574.92 ",$82.51 ,,,
5,Calaveras,202006,225,,,533,"$18,652.91 ",$82.90 ,,,
5,Calaveras,202007,226,,,595,"$16,241.72 ",$71.87 ,,,
5,Calaveras,202008,231,,,617,"$18,692.26 ",$80.92 ,,,
5,Calaveras,202009,236,,,526,"$18,064.94 ",$76.55 ,,,
5,Calaveras,202010,233,,,554,"$16,430.66 ",$70.52 ,,,
5,Calaveras,202011,229,,,541,"$16,532.82 ",$72.20 ,,,
5,Calaveras,202012,223,,,538,"$16,721.90 ",$74.99 ,,,
6,Colusa,2020,784,12,$342.93 ,"16,426","$533,571.61 ",$681.01 ,,,
6,Colusa,202001,441,6,$232.07 ,"1,342","$41,213.49 ",$93.98 ,,,
6,Colusa,202002,450,3,$59.40 ,"1,377","$38,942.53 ",$86.67 ,,,
6,Colusa,202003,509,3,$51.46 ,"1,526","$45,688.05 ",$89.86 ,,,
6,Colusa,202004,509,,,"1,366","$44,452.69 ",$87.33 ,,,
6,Colusa,202005,509,,,"1,403","$46,102.69 ",$90.58 ,,,
6,Colusa,202006,510,,,"1,392","$44,178.54 ",$86.62 ,,,
6,Colusa,202007,528,,,"1,480","$46,057.97 ",$87.23 ,,,
6,Colusa,202008,518,,,"1,406","$44,829.25 ",$86.54 ,,,
6,Colusa,202009,517,,,"1,351","$47,112.01 ",$91.13 ,,,
6,Colusa,202010,494,,,"1,272","$45,319.27 ",$91.74 ,,,
6,Colusa,202011,496,,,"1,269","$45,848.01 ",$92.44 ,,,
6,Colusa,202012,482,,,"1,242","$43,827.11 ",$90.93 ,,,
7,Contra Costa,2020,"16,451",372,"$9,052.13 ","281,109","$11,247,877.24 ",$684.27 ,,,
7,Contra Costa,202001,"8,520",126,"$3,087.92 ","23,729","$858,651.72 ",$101.14 ,,,
7,Contra Costa,202002,"8,497",93,"$2,433.35 ","23,004","$854,464.35 ",$100.85 ,,,
7,Contra Costa,202003,"8,949",88,"$1,797.79 ","23,327","$911,271.41 ",$102.03 ,,,
7,Contra Costa,202004,"9,429",52,"$1,359.62 ","22,394","$941,469.35 ",$99.99 ,,,
7,Contra Costa,202005,"9,544",13,$373.45 ,"22,654","$948,120.90 ",$99.38 ,,,
7,Contra Costa,202006,"9,764",,,"22,815","$940,130.92 ",$96.29 ,,,
7,Contra Costa,202007,"9,958",,,"23,543","$955,321.89 ",$95.94 ,,,
7,Contra Costa,202008,"9,986",,,"23,812","$958,458.76 ",$95.98 ,,,
7,Contra Costa,202009,"10,073",,,"23,658","$959,808.01 ",$95.29 ,,,
7,Contra Costa,202010,"10,158",,,"24,159","$961,161.32 ",$94.62 ,,,
7,Contra Costa,202011,"10,248",,,"24,047","$979,258.61 ",$95.56 ,,,
7,Contra Costa,202012,"10,295",,,"23,967","$979,760.00 ",$95.17 ,,,
8,Del Norte,2020,800,28,$394.33 ,"15,496","$456,311.79 ",$570.88 ,,,
8,Del Norte,202001,567,15,$261.65 ,"1,714","$47,121.90 ",$83.57 ,,,
8,Del Norte,202002,548,11,$112.66 ,"1,537","$44,216.00 ",$80.89 ,,,
8,Del Norte,202003,539,2,$20.02 ,"1,560","$42,156.90 ",$78.25 ,,,
8,Del Norte,202004,477,,,"1,404","$37,053.69 ",$77.68 ,,,
8,Del Norte,202005,463,,,"1,262","$35,868.85 ",$77.47 ,,,
8,Del Norte,202006,460,,,"1,146","$34,808.97 ",$75.67 ,,,
8,Del Norte,202007,447,,,"1,116","$36,744.20 ",$82.20 ,,,
8,Del Norte,202008,439,,,"1,109","$36,045.33 ",$82.11 ,,,
8,Del Norte,202009,442,,,"1,161","$37,308.29 ",$84.41 ,,,
8,Del Norte,202010,436,,,"1,182","$35,316.73 ",$81.00 ,,,
8,Del Norte,202011,443,,,"1,176","$35,282.02 ",$79.64 ,,,
8,Del Norte,202012,430,,,"1,129","$34,388.91 ",$79.97 ,,,
9,El Dorado,2020,"1,921",66,"$1,247.73 ","27,212","$875,729.03 ",$456.52 ,,,
9,El Dorado,202001,862,15,$228.89 ,"2,542","$77,806.34 ",$90.53 ,,,
9,El Dorado,202002,854,22,$420.67 ,"2,391","$70,967.50 ",$83.59 ,,,
9,El Dorado,202003,911,21,$443.29 ,"2,398","$76,265.16 ",$84.20 ,,,
9,El Dorado,202004,880,8,$154.88 ,"2,179","$73,635.19 ",$83.85 ,,,
9,El Dorado,202005,891,,,"2,242","$73,292.39 ",$82.26 ,,,
9,El Dorado,202006,898,,,"2,071","$70,742.07 ",$78.78 ,,,
9,El Dorado,202007,923,,,"2,202","$73,735.11 ",$79.89 ,,,
9,El Dorado,202008,919,,,"2,266","$73,222.69 ",$79.68 ,,,
9,El Dorado,202009,909,,,"2,138","$71,632.50 ",$78.80 ,,,
9,El Dorado,202010,921,,,"2,236","$71,556.44 ",$77.69 ,,,
9,El Dorado,202011,941,,,"2,275","$71,948.32 ",$76.46 ,,,
9,El Dorado,202012,932,,,"2,272","$70,925.32 ",$76.10 ,,,
10,Fresno,2020,"70,988","425,838","$8,993,625.21 ","603,634","$25,692,265.67 ",$488.62 ,,,
10,Fresno,202001,"28,913","144,732","$3,032,892.10 ",80,"$2,787.11 ",$104.99 ,,,
10,Fresno,202002,"27,337","136,863","$2,911,229.70 ",165,"$5,452.43 ",$106.69 ,,,
10,Fresno,202003,"26,522","95,018","$2,020,041.50 ","19,607","$874,478.57 ",$109.14 ,,,
10,Fresno,202004,"25,961","41,899","$883,457.79 ","41,480","$1,939,754.04 ",$108.75 ,,,
10,Fresno,202005,"25,977","7,326","$146,004.12 ","58,999","$2,633,597.42 ",$107.00 ,,,
10,Fresno,202006,"26,966",,,"65,860","$2,822,218.51 ",$104.66 ,,,
10,Fresno,202007,"27,738",,,"69,005","$2,915,302.66 ",$105.10 ,,,
10,Fresno,202008,"27,949",,,"69,310","$2,910,947.74 ",$104.15 ,,,
10,Fresno,202009,"27,950",,,"68,906","$2,896,953.33 ",$103.65 ,,,
10,Fresno,202010,"28,310",,,"71,167","$2,919,161.97 ",$103.11 ,,,
10,Fresno,202011,"28,066",,,"70,008","$2,890,765.17 ",$103.00 ,,,
10,Fresno,202012,"27,978",,,"69,047","$2,880,846.72 ",$102.97 ,,,
11,Glenn,2020,"1,326",5,$319.12 ,"19,956","$528,192.38 ",$398.58 ,,,
11,Glenn,202001,705,,,"1,935","$51,171.70 ",$72.58 ,,,
11,Glenn,202002,671,,,"1,745","$45,859.15 ",$68.34 ,,,
11,Glenn,202003,714,5,$319.12 ,"1,802","$49,402.56 ",$69.64 ,,,
11,Glenn,202004,656,,,"1,521","$44,970.05 ",$68.55 ,,,
11,Glenn,202005,663,,,"1,548","$43,983.14 ",$66.34 ,,,
11,Glenn,202006,679,,,"1,551","$45,236.24 ",$66.62 ,,,
11,Glenn,202007,693,,,"1,704","$44,373.75 ",$64.03 ,,,
11,Glenn,202008,669,,,"1,703","$42,249.15 ",$63.15 ,,,
11,Glenn,202009,667,,,"1,606","$41,347.53 ",$61.99 ,,,
11,Glenn,202010,651,,,"1,629","$39,891.22 ",$61.28 ,,,
11,Glenn,202011,664,,,"1,681","$40,959.62 ",$61.69 ,,,
11,Glenn,202012,615,,,"1,531","$38,748.27 ",$63.01 ,,,
12,Humboldt,2020,"2,683",13,$159.30 ,"52,949","$1,584,295.27 ",$590.55 ,,,
12,Humboldt,202001,"1,686",11,$138.60 ,"5,633","$154,802.60 ",$91.90 ,,,
12,Humboldt,202002,"1,600",2,$20.70 ,"5,012","$144,487.09 ",$90.32 ,,,
12,Humboldt,202003,"1,672",,,"4,816","$147,201.07 ",$88.04 ,,,
12,Humboldt,202004,"1,605",,,"4,232","$139,533.47 ",$86.94 ,,,
12,Humboldt,202005,"1,599",,,"4,038","$132,317.74 ",$82.75 ,,,
12,Humboldt,202006,"1,573",,,"4,113","$125,146.40 ",$79.56 ,,,
12,Humboldt,202007,"1,594",,,"4,255","$127,341.28 ",$79.89 ,,,
12,Humboldt,202008,"1,588",,,"4,166","$124,981.72 ",$78.70 ,,,
12,Humboldt,202009,"1,565",,,"4,160","$124,461.18 ",$79.53 ,,,
12,Humboldt,202010,"1,565",,,"4,221","$120,856.29 ",$77.22 ,,,
12,Humboldt,202011,"1,555",,,"4,159","$120,871.49 ",$77.73 ,,,
12,Humboldt,202012,"1,542",,,"4,144","$122,294.94 ",$79.31 ,,,
13,Imperial,2020,"6,079","1,633","$36,817.92 ","119,818","$4,254,784.93 ",$705.97 ,,,
13,Imperial,202001,"3,675",484,"$11,115.29 ","12,094","$380,378.35 ",$106.53 ,,,
13,Imperial,202002,"3,542",506,"$11,066.67 ","11,281","$362,037.93 ",$105.34 ,,,
13,Imperial,202003,"3,707",367,"$8,541.30 ","11,578","$391,358.39 ",$107.88 ,,,
13,Imperial,202004,"3,684",196,"$4,653.11 ","10,038","$380,031.70 ",$104.42 ,,,
13,Imperial,202005,"3,644",80,"$1,441.55 ","9,522","$362,929.88 ",$99.99 ,,,
13,Imperial,202006,"3,534",,,"9,207","$346,485.10 ",$98.04 ,,,
